remove_structure_errors: t is not allowed after s (('s', 7) is followed by ('t', 35))
remove_structure_errors: i is not allowed after s (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after s (('i', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after s (('p', 67) is followed by ('d', 6))
remove_structure_errors: v is not allowed after s (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after o (('o', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 6))
remove_structure_errors: t is not allowed after i (('i', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: d is not allowed after o (('o', 6) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 12))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 24))
remove_structure_errors: t is not allowed after i (('o', 24) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after b (('v', 20) is followed by ('p', 52))
remove_structure_errors: d is not allowed after b (('p', 52) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after v (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after v (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after o (('o', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after o (('o', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after v (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after v (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after o (('o', 6) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 24))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: d is not allowed after s (('s', 7) is followed by ('d', 6))
remove_structure_errors: v is not allowed after s (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: d is not allowed after i (('v', 20) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after i (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0))
