/Users/4rr311/Documents/VectorA/KHTN/Nam4/HKII/Thesis/Brainstorming/MIDI/Ideas/data/output/model_result_2024_06_04_06pm_2.mid
remove_structure_errors: p is not allowed after p (('p', 79) is followed by ('p', 72))
remove_structure_errors: d is not allowed after d (('d', 4) is followed by ('d', 6))
remove_structure_errors: i is not allowed after p (('p', 64) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 76))
remove_structure_errors: d is not allowed after t (('t', 30) is followed by ('d', 6))
remove_structure_errors: v is not allowed after t (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after t (('v', 20) is followed by ('o', 6))
remove_structure_errors: t is not allowed after t (('o', 6) is followed by ('t', 34))
remove_structure_errors: t is not allowed after t (('t', 34) is followed by ('t', 35))
remove_structure_errors: d is not allowed after t (('t', 39) is followed by ('d', 3))
remove_structure_errors: v is not allowed after t (('d', 3) is followed by ('v', 20))
remove_structure_errors: o is not allowed after t (('v', 20) is followed by ('o', 30))
remove_structure_errors: t is not allowed after t (('o', 30) is followed by ('t', 34))
remove_structure_errors: o is not allowed after i (('i', 52) is followed by ('o', 12))
remove_structure_errors: t is not allowed after i (('o', 12) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: i is not allowed after i (('i', 0) is followed by ('i', 0))
remove_structure_errors: o is not allowed after o (('o', 0) is followed by ('o', 12))
remove_structure_errors: i is not allowed after p (('p', 69) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 48))
remove_structure_errors: v is not allowed after o (('o', 12) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: i is not allowed after p (('p', 67) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 60))
remove_structure_errors: d is not allowed after o (('o', 18) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 18))
remove_structure_errors: t is not allowed after i (('o', 18) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: v is not allowed after o (('o', 12) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 36))
remove_structure_errors: d is not allowed after o (('o', 18) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 12))
remove_structure_errors: d is not allowed after t (('t', 30) is followed by ('d', 6))
remove_structure_errors: v is not allowed after t (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after t (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after t (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after t (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after t (('o', 0) is followed by ('t', 35))
remove_structure_errors: v is not allowed after p (('p', 76) is followed by ('v', 20))
remove_structure_errors: o is not allowed after p (('v', 20) is followed by ('o', 30))
remove_structure_errors: t is not allowed after p (('o', 30) is followed by ('t', 30))
remove_structure_errors: i is not allowed after p (('t', 30) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 57))
remove_structure_errors: i is not allowed after p (('p', 76) is followed by ('i', 0))
remove_structure_errors: i is not allowed after p (('i', 0) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 72))
remove_structure_errors: i is not allowed after p (('p', 72) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 72))
remove_structure_errors: d is not allowed after o (('o', 24) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: v is not allowed after i (('i', 0) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 12))
remove_structure_errors: d is not allowed after i (('o', 12) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 6))
remove_structure_errors: o is not allowed after i (('o', 6) is followed by ('o', 6))
remove_structure_errors: t is not allowed after i (('o', 6) is followed by ('t', 30))
remove_structure_errors: i is not allowed after i (('t', 30) is followed by ('i', 0))
remove_structure_errors: i is not allowed after p (('p', 76) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 74))
remove_structure_errors: i is not allowed after p (('p', 76) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 64))
remove_structure_errors: i is not allowed after o (('o', 36) is followed by ('i', 0))
remove_structure_errors: p is not allowed after o (('i', 0) is followed by ('p', 76))
remove_structure_errors: d is not allowed after o (('p', 76) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 12))
remove_structure_errors: o is not allowed after o (('o', 12) is followed by ('o', 0))
remove_structure_errors: v is not allowed after o (('o', 12) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 8))
remove_structure_errors: o is not allowed after o (('s', 8) is followed by ('o', 0))
remove_structure_errors: b is not allowed after i (('i', 52) is followed by ('b', 1))
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after i (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: v is not allowed after p (('p', 71) is followed by ('v', 20))
remove_structure_errors: b is not allowed after p (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after p (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after p (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after p (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 74))
remove_structure_errors: v is not allowed after p (('p', 71) is followed by ('v', 20))
remove_structure_errors: b is not allowed after p (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after p (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after p (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after p (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 71))
remove_structure_errors: i is not allowed after p (('p', 67) is followed by ('i', 0))
remove_structure_errors: t is not allowed after p (('i', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 74))
remove_structure_errors: i is not allowed after p (('p', 76) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 62))
remove_structure_errors: i is not allowed after i (('i', 0) is followed by ('i', 0))
remove_structure_errors: i is not allowed after o (('o', 6) is followed by ('i', 0))
remove_structure_errors: i is not allowed after o (('i', 0) is followed by ('i', 0))
remove_structure_errors: p is not allowed after o (('i', 0) is followed by ('p', 72))
remove_structure_errors: d is not allowed after o (('p', 72) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after b (('b', 1) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after b (('v', 20) is followed by ('o', 18))
remove_structure_errors: t is not allowed after b (('o', 18) is followed by ('t', 30))
remove_structure_errors: i is not allowed after b (('t', 30) is followed by ('i', 0))
remove_structure_errors: p is not allowed after b (('i', 0) is followed by ('p', 76))
remove_structure_errors: d is not allowed after b (('p', 76) is followed by ('d', 6))
remove_structure_errors: v is not allowed after b (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after b (('v', 20) is followed by ('b', 1))
remove_structure_errors: v is not allowed after i (('i', 0) is followed by ('v', 20))
remove_structure_errors: b is not allowed after i (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after i (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: i is not allowed after o (('o', 0) is followed by ('i', 0))
remove_structure_errors: p is not allowed after o (('i', 0) is followed by ('p', 69))
remove_structure_errors: d is not allowed after o (('p', 69) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 18))
remove_structure_errors: p is not allowed after o (('o', 0) is followed by ('p', 67))
remove_structure_errors: d is not allowed after o (('p', 67) is followed by ('d', 3))
remove_structure_errors: v is not allowed after o (('d', 3) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: i is not allowed after i (('i', 0) is followed by ('i', 0))
remove_structure_errors: v is not allowed after s (('s', 9) is followed by ('v', 20))
remove_structure_errors: v is not allowed after p (('p', 76) is followed by ('v', 20))
remove_structure_errors: p is not allowed after p (('v', 20) is followed by ('p', 57))
remove_structure_errors: i is not allowed after p (('p', 57) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 76))
remove_structure_errors: v is not allowed after p (('p', 76) is followed by ('v', 20))
remove_structure_errors: b is not allowed after p (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after p (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after p (('s', 9) is followed by ('o', 0))
remove_structure_errors: i is not allowed after o (('o', 12) is followed by ('i', 0))
remove_structure_errors: p is not allowed after o (('i', 0) is followed by ('p', 71))
remove_structure_errors: d is not allowed after o (('p', 71) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: p is not allowed after o (('v', 20) is followed by ('p', 48))
remove_structure_errors: d is not allowed after o (('p', 48) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after o (('v', 20) is followed by ('o', 6))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 6))
remove_structure_errors: d is not allowed after i (('o', 6) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 6))
remove_structure_errors: t is not allowed after i (('o', 6) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: o is not allowed after p (('p', 71) is followed by ('o', 0))
remove_structure_errors: t is not allowed after p (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: v is not allowed after p (('i', 0) is followed by ('v', 20))
remove_structure_errors: o is not allowed after p (('v', 20) is followed by ('o', 24))
remove_structure_errors: t is not allowed after p (('o', 24) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 74))
remove_structure_errors: i is not allowed after i (('i', 0) is followed by ('i', 0))
remove_structure_errors: i is not allowed after p (('p', 67) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 64))
remove_structure_errors: d is not allowed after o (('o', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: v is not allowed after p (('p', 76) is followed by ('v', 20))
remove_structure_errors: b is not allowed after p (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after p (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after p (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after p (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after p (('t', 35) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 59))
remove_structure_errors: v is not allowed after p (('p', 76) is followed by ('v', 20))
remove_structure_errors: o is not allowed after p (('v', 20) is followed by ('o', 12))
remove_structure_errors: t is not allowed after p (('o', 12) is followed by ('t', 30))
remove_structure_errors: i is not allowed after p (('t', 30) is followed by ('i', 0))
remove_structure_errors: p is not allowed after p (('i', 0) is followed by ('p', 64))
remove_structure_errors: i is not allowed after o (('o', 0) is followed by ('i', 0))
remove_structure_errors: p is not allowed after o (('i', 0) is followed by ('p', 62))
remove_structure_errors: d is not allowed after o (('p', 62) is followed by ('d', 6))
remove_structure_errors: v is not allowed after o (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after o (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after o (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after o (('s', 9) is followed by ('o', 0))
remove_structure_errors: d is not allowed after t (('t', 30) is followed by ('d', 6))
remove_structure_errors: v is not allowed after t (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after t (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after t (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after t (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after t (('o', 0) is followed by ('t', 35))
remove_structure_errors: d is not allowed after i (('i', 0) is followed by ('d', 6))
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20))
remove_structure_errors: b is not allowed after i (('v', 20) is followed by ('b', 1))
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9))
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0))
remove_structure_errors: t is not allowed after i (('o', 0) is followed by ('t', 35))
remove_structure_errors: i is not allowed after i (('t', 35) is followed by ('i', 0))
remove_structure_errors: o is not allowed after t (('t', 39) is followed by ('o', 18))
remove_structure_errors: t is not allowed after t (('o', 18) is followed by ('t', 35))
