/Users/4rr311/Documents/VectorA/KHTN/Nam4/HKII/Thesis/Brainstorming/MIDI/Ideas/data/output/model_result_2024_07_04_09am_1.mid
remove_structure_errors: d is not allowed after i (('i', 128) is followed by ('d', 3)): ('i', 128), ('d', 3)
remove_structure_errors: v is not allowed after i (('d', 3) is followed by ('v', 20)): ('d', 3), ('v', 20)
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 42)): ('v', 20), ('o', 42)
remove_structure_errors: t is not allowed after i (('o', 42) is followed by ('t', 33)): ('o', 42), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 128)): ('t', 33), ('i', 128)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 6)): ('i', 56), ('d', 6)
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20)): ('d', 6), ('v', 20)
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 9)): ('v', 20), ('o', 9)
remove_structure_errors: t is not allowed after i (('o', 9) is followed by ('t', 33)): ('o', 9), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 56)): ('t', 33), ('i', 56)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 3)): ('i', 56), ('d', 3)
remove_structure_errors: v is not allowed after i (('d', 3) is followed by ('v', 20)): ('d', 3), ('v', 20)
remove_structure_errors: o is not allowed after i (('i', 56) is followed by ('o', 9)): ('i', 56), ('o', 9)
remove_structure_errors: t is not allowed after i (('o', 9) is followed by ('t', 33)): ('o', 9), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 128)): ('t', 33), ('i', 128)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 3)): ('i', 56), ('d', 3)
remove_structure_errors: v is not allowed after i (('d', 3) is followed by ('v', 20)): ('d', 3), ('v', 20)
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 3)): ('v', 20), ('o', 3)
remove_structure_errors: t is not allowed after i (('o', 3) is followed by ('t', 33)): ('o', 3), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 57)): ('t', 33), ('i', 57)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 3)): ('i', 56), ('d', 3)
remove_structure_errors: v is not allowed after i (('d', 3) is followed by ('v', 20)): ('d', 3), ('v', 20)
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 33)): ('v', 20), ('o', 33)
remove_structure_errors: t is not allowed after i (('o', 33) is followed by ('t', 33)): ('o', 33), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 56)): ('t', 33), ('i', 56)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 3)): ('i', 56), ('d', 3)
remove_structure_errors: v is not allowed after i (('d', 3) is followed by ('v', 20)): ('d', 3), ('v', 20)
remove_structure_errors: b is not allowed after i (('v', 20) is followed by ('b', 1)): ('v', 20), ('b', 1)
remove_structure_errors: s is not allowed after i (('b', 1) is followed by ('s', 9)): ('b', 1), ('s', 9)
remove_structure_errors: o is not allowed after i (('s', 9) is followed by ('o', 0)): ('s', 9), ('o', 0)
remove_structure_errors: t is not allowed after i (('o', 0) is followed by ('t', 33)): ('o', 0), ('t', 33)
remove_structure_errors: i is not allowed after i (('t', 33) is followed by ('i', 128)): ('t', 33), ('i', 128)
remove_structure_errors: d is not allowed after i (('i', 56) is followed by ('d', 6)): ('i', 56), ('d', 6)
remove_structure_errors: v is not allowed after i (('d', 6) is followed by ('v', 20)): ('d', 6), ('v', 20)
remove_structure_errors: o is not allowed after i (('v', 20) is followed by ('o', 33)): ('v', 20), ('o', 33)
remove_structure_errors: t is not allowed after i (('o', 33) is followed by ('t', 33)): ('o', 33), ('t', 33)
